SPACE,CATEGORY,PRODUCT_CODE,CARCASS_CODE,SHUTTER_CODE,TYPE,OPENING,SOLID,GLASS,ALU,PLY,SHUTTER_ORIGIN
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_8007,WH_8007,WSD_80_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_9007,WH_9007,WSD_90_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_7008,WH_7008,WSD_70_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_7508,WH_7508,WSD_75_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_8008,WH_8008,WSD_80_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_9008,WH_9008,WSD_90_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_7509,WH_7509,WSD_75_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_8009,WH_8009,WSD_80_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_9009,WH_9009,WSD_90_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_10009,WH_10009,WSD_100_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Double_Door,WH_DD_11009,WH_11009,WSD_110_20,Double,No,Yes,Yes,Yes,No,1_100
Wardrobe_Hinged_Door,Wardrobe_Single_Door,WH_SD_50010,WH_50010,WSD_50_20,Single,LHS/RHS,Yes,Yes,Yes,No,1_100
